cluster_id	cluster_name	cluster_type	representative_queries	query_count	sku_count	candidate_primary_skus	family_scope	notes
CLASS::amulet_pendant	Амулет/талисман/подвеска	product_class	12 з подвеска || 200 шт подвески звезды || акриловые звезды подвески || аксессуары вел || аксессуары для овна || аксессуары для стрел || аксессуары самурая || амулет	110	67		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
CLASS::beads	Чётки/талисман	product_class	деревянные качественные четки эзотерика || качественные четки || кулон четки || магические четки || на четки подвеска || набор для четки || подвеска четки || черная магия четки	21	24		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
FAMILY::religious	Православные обереги	family	баннер православный || большой крест в машину на зеркало православный || крест в машину освященный православный на зеркало || молитвой деревянный православный || молитвы о детях православные даниленко || оберег в машину православный || оберег в машину православный мал || оберег на ркккмужской православный освященны	9	4	1943215793;2326866320	MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
FAMILY::slavic	Славянские обереги	family	аксессуары славян || аксессуары славянские || алтырь славянских богов || амулет в машину славянский || амулет в машину славянский на зеркало || амулет крес славян || амулет на удачу славянский || амулет на шею мужской славянский оберег	192	40		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
FAMILY::zodiac	Знаки зодиака	family	10 шилингов знаки зодиака || авторучка шариковая знаки зодиака || адамас золото знак зодиака || амулет доч знака зодиака змееносец || брелок знак зодиака набор || брелок знаки зодиака || бусина знак зодиака || бусина знаки зодиака	53	33		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::01e0ef7aac	Неясный запрос	unclear	коловрат брелок	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::031d317c83	Неясный запрос	unclear	амлеты	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::057de70670	Неясный запрос	unclear	taccardi для дев	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::08acad7e76	Неясный запрос	unclear	богиня лада из дерева	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::09549a5431	Неясный запрос	unclear	брелок козе	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::099dd10930	Неясный запрос	unclear	бусины акрил с рунами	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::0af3e6e132	Неясный запрос	unclear	самурай	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::0b1ee2c2f7	Неясный запрос	unclear	бог омулет	1	6		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::0d5a673d2b	Неясный запрос	unclear	кулон с рыбами	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::0e1e4f77b8	Неясный запрос	unclear	подвнска в мсшине зерколо	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::0f7c024794	Неясный запрос	unclear	руна крест	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1279bfd1ef	Неясный запрос	unclear	бусины акриловые народные	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1360c07194	Неясный запрос	unclear	самурая на голову	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::16344e1644	Неясный запрос	unclear	купить знак рака	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::17ad9057be	Неясный запрос	unclear	семагл	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::18a80038ed	Неясный запрос	unclear	cerave	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1989d474df	Неясный запрос	unclear	руны обкрег	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1b988bb172	Неясный запрос	unclear	наклейка чур	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1cbfe75e6f	Неясный запрос	unclear	защелка на нагрудный знак	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::1d7382cf90	Неясный запрос	unclear	коробочки 12 см дерево	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::202dd7d36c	Неясный запрос	unclear	велес	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::22ebf22fdf	Неясный запрос	unclear	для любителя энергетикво	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::248739d555	Неясный запрос	unclear	валькнут	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::25f06e5702	Неясный запрос	unclear	брелок каловрат	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::2627194dcc	Неясный запрос	unclear	красный самурайский	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::271415feb8	Неясный запрос	unclear	для эзотерика предметы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::2961238148	Неясный запрос	unclear	коловрат браслет	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::2e4001397f	Неясный запрос	unclear	кепка мужская стре	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::2fcdb9d858	Неясный запрос	unclear	сила	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::302173bfeb	Неясный запрос	unclear	ведические	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::38d7351727	Неясный запрос	unclear	сковорода гугнир	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::38ea3863b2	Неясный запрос	unclear	коловрат	1	16		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::3c0b493514	Неясный запрос	unclear	брелок слпвянск	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::3f5745d5a1	Неясный запрос	unclear	браслет' обеоег для водолея	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::403926033d	Неясный запрос	unclear	lol	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::41706cb735	Неясный запрос	unclear	богиня кали	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4192f3f8a2	Неясный запрос	unclear	знаки вес классность	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
