schema_version,query_id,query_text,cluster,wordstat_broad_30d,broad_status,wordstat_quoted_30d,quoted_status,wordstat_phone_30d,phone_status,wordstat_desktop_30d,desktop_status,dynamics_status,region_status,evidence_status,notes
1.1,q_e624da6cb26d,печать велеса,product_core,3330,MEASURED,802,MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical broad 3350; latest broad RESULT 3330 from quoted call; quoted total preserved separately
1.1,q_a7bcbc7f088c,оберег печать велеса,product_core,198,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_45793464bf62,подвеска печать велеса,product_core,80,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_b3389c7563b6,печать велеса медвежья лапа,product_variant,343,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_31806ca53d61,печать велеса волчья лапа,product_variant,129,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_4ab5a09494a0,печать велеса в машину,automotive,5,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_16798cf404fd,оберег в машину,automotive,1405,MEASURED,96,MEASURED,1297,MEASURED,100,MEASURED,MEASURED,NOT_MEASURED,VALID,latest broad RESULT 1405 from quoted call; phone/desktop strongly mobile-first
1.1,q_dec36683e8e1,славянский оберег в машину,automotive,72,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical pilot root
1.1,q_cc67e8b8507f,подвеска на зеркало в машину,automotive_form,1074,MEASURED,266,MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,latest broad RESULT 1074 from quoted call; quoted core 266
1.1,q_ddc00bf51857,печать велеса значение,meaning,617,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical meaning layer
1.1,q_f87efd71ce50,медвежья и волчья печать велеса отличие,comparison,1,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical comparison root
1.1,q_5b5d025fa1c6,какой оберег выбрать в машину,automotive_choice,12,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical choice root
1.1,q_c2f45c10ecf5,подарок автомобилисту,gift,1192,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,historical gift root
1.1,q_583a9b9add79,знак зодиака в машину,zodiac_automotive,149,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,direct zodiac-auto family anchor
1.1,q_bceef2201e2d,талисман знак зодиака,zodiac,3422,MEASURED,21,MEASURED,,,,,MEASURED,NOT_MEASURED,VALID,broad demand large but quoted core very narrow; informational/stones skew
1.1,q_f31b17922a59,оберег по знаку зодиака,zodiac,710,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,stones/women-heavy root
1.1,q_806670c30a84,славянские обереги,slavic_family,25737,MEASURED,2987,MEASURED,22563,MEASURED,2869,MEASURED,MEASURED,MEASURED,VALID_WITH_RECOVERED_AUXILIARY,dominant family; phone/desktop and region auxiliary evidence recovered with explicit audit status
1.1,q_8d11f0813741,алатырь оберег,slavic_symbol,1878,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,high-value slavic symbol
1.1,q_2973edba432e,оберег чур,slavic_symbol,903,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,slavic symbol
1.1,q_0383db47b796,колядник оберег,slavic_symbol,162,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,slavic symbol
1.1,q_19f41f3ff755,оберег велес,slavic_symbol,1507,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,slavic symbol
1.1,q_f81611715695,сварог оберег,slavic_symbol,761,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,slavic symbol
1.1,q_67a951306107,вегвизир,norse_runic,5938,MEASURED,1541,MEASURED,,,,,MEASURED,NOT_MEASURED,RECOVERED_RAW,broad high but meaning/compass skew; original broad raw missing and recovered audit artifact is explicit
1.1,q_ad9368ae9d57,вегвизир в машину,norse_automotive,4,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,direct automotive crossover is very small
1.1,q_0f187fe4e2d5,скандинавский оберег в машину,norse_automotive,,MISSING,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID_EMPTY_RESPONSE,HTTP 200 empty object; absent is not zero
1.1,q_0694f863e5da,герб россии в машину,patriotic_automotive,55,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,patriotic family
1.1,q_f598e9ed667c,православный оберег в машину,orthodox_automotive,22,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,orthodox family
1.1,q_431561f8f6b7,спаси и сохрани в машину,orthodox_automotive,48,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,orthodox formulation
1.1,q_65a16ee958c6,древо жизни в машину,universal_automotive,,MISSING,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID_EMPTY_RESPONSE,HTTP 200 empty object; absent is not zero
1.1,q_2214234981ea,инь ян в машину,universal_automotive,5,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,universal symbol
1.1,q_4473a92a7efb,талисман в машину,automotive_generic,177,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,generic talisman
1.1,q_aa4ac349a92c,амулет в машину,automotive_generic,404,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,generic amulet
1.1,q_6e0a4c1de624,бусидо талисман,warrior,,MISSING,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID_EMPTY_RESPONSE,HTTP 200 empty object; absent is not zero
1.1,q_9fc07d36a268,талисман знака зодиака близнецы,zodiac_variant,160,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,representative zodiac variant; no all-sign expansion
1.1,q_136048babfad,шлем ужаса оберег,norse_runic,474,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,evidence-backed Wave2
1.1,q_46564f3f51a9,валькнут амулет,norse_runic,70,MEASURED,,NOT_MEASURED,,,,,NOT_MEASURED,NOT_MEASURED,VALID,evidence-backed Wave2
