schema_version,rank,opportunity_id,opportunity_name,intent_quality,H,A,C,O,score_confidence,status,strongest_positive_evidence,strongest_negative_evidence,overlap_risk,next_evidence_dependency
1.0,1,OU02,Печать Велеса family,CLEAN,HIGH,HIGH,HIGH,HIGH,HIGH_CONFIDENCE,KEEP,Base transactional Search + Alice meaning + secondary meaning split + specialist commerce in meaning SERP,Commercial and explanatory lanes may share one future asset,HIGH,05.3 overlap/job-boundary resolution
1.0,2,OU01,Slavic category,CLEAN,HIGH,HIGH,HIGH,HIGH,HIGH_CONFIDENCE,KEEP,25737 broad / 2987 quoted + specialist independent strength desktop/touch,Category demand overlaps named-symbol demand,MEDIUM,05.3 category-vs-symbol boundary
1.0,3,OU03,Automotive protection,CLEAN,HIGH,MEDIUM,HIGH,HIGH,HIGH_CONFIDENCE,KEEP,1405 broad + extreme mobile skew + Search/Alice shopping-selection + specialist commerce,Protection traditions/SKU fit require stage 06 product evidence,MEDIUM,05.3 protection-vs-form-factor then stage 06 SKU fit
1.0,4,OU05,Алатырь named symbol,CLEAN,HIGH,HIGH,HIGH,HIGH,HIGH_CONFIDENCE,KEEP,1878 broad + commercial Search + Alice meaning + direct Blood & Sand marketplace visibility,Owned-site proof absent; Alice answer partial,MEDIUM,Stage 06 SKU/customer evidence
1.0,5,OU07,Vegvisir family,CLEAN,HIGH,HIGH,MEDIUM,HIGH,HIGH_CONFIDENCE,KEEP,5938 broad / 1541 quoted + independent meaning split + source-quality opportunity,Large informational/entity share means not all demand is product demand,MEDIUM,05.3 named-symbol lane resolution + stage 06 SKU fit
1.0,6,OU06,Veles broader symbol family,MIXED,HIGH,HIGH,HIGH,HIGH,HIGH_CONFIDENCE,INVESTIGATE,1507 broad + specialist commercial Search + Alice explicitly treats Veles as symbol family,High structural overlap with Печать Велеса,HIGH,05.3 Veles-family overlap resolution
1.0,7,OU08,Шлем Ужаса / Агисхьяльм,CLEAN,MEDIUM,UNKNOWN,HIGH,MEDIUM,MEDIUM_CONFIDENCE,INVESTIGATE,474 broad + tight commerce-first named-symbol Top-10,Exact-query Alice not measured and marketplace pressure high,MEDIUM,Stage 06 product fit + stage 07 competitor/source review
1.0,8,OU04,Mirror-pendant form factor,MIXED,HIGH,MEDIUM,HIGH,LOW,HIGH_CONFIDENCE,INVESTIGATE,1074 broad / 266 quoted + near-pure transactional Search + Alice direct products,Commodity/decor/fandom contamination and weak specialist owned-asset evidence,HIGH,05.3 relation to automotive protection + stages 06/07 differentiation
1.0,9,OU09,Zodiac-related opportunity,CONTAMINATED,MEDIUM,HIGH,LOW,LOW,HIGH_CONFIDENCE,REJECT_AS_PRIMARY,3422 broad + substantial Alice selection need,Quoted 21 and stones/jewelry dominate Search/Alice/People-search,HIGH,Stage 06 only if narrow SKU-qualified zodiac evidence exists
1.0,10,OU10,Generic automotive gift,MIXED,HIGH,LOW,LOW,LOW,HIGH_CONFIDENCE,REJECT_AS_PRIMARY,Real 1070-1192 gift demand,Clean Alice does not naturally select amulet/pendant as central answer,LOW,No immediate dependency; reconsider only with later commercial evidence
