opportunity_id,opportunity_name,prior_state,marketplace_strength,owned_specialist_gap,user_need_evidence,blood_sand_capability,stage07_verdict,go_forward_condition,non_goal,evidence_certainty
OU01,Slavic category,KEEP,"Marketplaces provide breadth/checkout/UGC; specialist sites already provide deep symbolic catalogues","Evidence-disciplined taxonomy + useful comparison across current products + exact product proof","R1/R2 large mobile-skewed category demand; specialist independent sites repeatedly rank; Stage06 proves broad current assortment on Ozon/WB","Current cross-market assortment breadth; control of exact products; source-rigor standard from 07.3; ability to connect selection to current SKU facts",DEFENSIBLE,"Build category selection around observable product differences and sourced symbol boundaries; match specialist breadth but do not compete by count alone","Do not claim 'largest assortment' or freeze final category URL yet",HIGH
OU02,Pechat Velesa,KEEP,"Marketplaces dominate transactional root and provide trust/UGC; strong specialist product pages already publish dimensions/reviews","Source boundary for historical deity vs modern Pechat graphic + exact automotive-use documentation + family/variant selection","R2 proves product root plus separate meaning job; Stage06 current SKU is strongest Tier-A signal at 385 Ozon ordered units / 653271 RUB preserved 90d","Exact current product, physical facts, direct commercial importance, source-rigor capability, ability to create real-car/mounting assets",DEFENSIBLE,"Provide sourced meaning with explicit uncertainty plus exact current product/use evidence and comparison within Veles/Pechat family","Do not present magical efficacy or antiquity of exact graphic as fact",VERY_HIGH
OU03,Automotive protection/use-case,KEEP,"Ozon/WB/Yandex Market solve checkout/availability/UGC and many specialists already sell auto-oberegs; HappyWitch/Veles.bz solve some selection","Exact product-in-car evidence, mounting construction, observable-use selection without magical efficacy claims","R1 strong mobile demand; R2 mixed commerce+choice job; Stage06 buyer analog topics explicitly include scale, attachment, cord, heat/sun, appearance in car","88 current WB automotive symbolic cards; 76 Ozon family; control of physical product and ability to photograph/test exact use; Tier-A dimensions",DEFENSIBLE,"Create real-car and mounting evidence for exact priority SKUs and selection by observable constraints; qualify belief claims","Do not compete with generic protection promises",HIGH
OU04,Mirror-pendant form factor,INVESTIGATE,"R2 Search is near-pure platform/catalog commerce; marketplaces and auto specialists already sell hanging products and some explain mounting","Potential gap only in systematic driver-view scale, hanging length, obstruction/clearance, exact cord/loop construction and product comparison","R1 meaningful transactional demand; Stage06 confirms form factor is core; buyer analog evidence flags size/appearance/attachment","Exact 36cm current Tier-A products and physical control; can create real-car/mounting tests but those assets are not yet materialized",CONDITIONAL,"Promote only if Stage14/content production can materially document real-car visibility/mounting better than marketplace listings and Stage08 economics supports the lane","No generic 'podveska na zerkalo' commodity landing solely for traffic",HIGH
OU05,Alatyr,KEEP,"Marketplaces + specialists provide products, reviews and generic meaning copy","Separate recorded Alatyr-stone folklore from modern graphic/product claims; exact automotive-use proof","R2 commercial-first with meaning support; Stage06 current SKU and preserved 84 Ozon units / 143243 RUB 90d","Current product/physical facts; source-rigor rule; exact automotive product control",DEFENSIBLE,"Use sourced folklore boundary plus current product evidence; avoid unsourced continuity claims between folklore stone and exact graphic","Do not repeat generic energetic effects as facts",HIGH
OU06,Broader Veles family,KEEP_AFTER_STAGE06_OVERLAP,"Specialists already have deep Veles families; marketplaces provide product breadth and trust","Clear family chooser that does not collapse Veles and Pechat; source-disciplined history + exact SKU differences","R2 strong niche independent competition; Stage06 proves Veles and Pechat are distinct seller identities with separate sales; Veles 48 Ozon units / 80317 RUB preserved 90d","Distinct current Veles products across marketplaces; product hierarchy evidence; source-rigor and comparison capability",DEFENSIBLE,"Explain family boundary and observable product differences, then connect to exact products","Do not invent ancient taxonomy to justify modern SKU hierarchy",HIGH
OU07,Vegvisir,KEEP,"Marketplaces sell the symbol and specialists combine commerce with meaning","Directly demonstrated source-quality gap: current specialist Viking/IV-VII framing conflicts with checked 1860 Huld attestation/scholarship; exact product-use evidence also available","R2 high demand plus explicit meaning/history split; Stage06 current SKU and preserved 84 Ozon units / 142643 RUB 90d","Current product, exact dimensions, source-quality standard, manuscript/academic source chain, ability to connect rigorous history to commerce",DEFENSIBLE,"Make chronology/source distinction central: Huld 1860, galdrastafir vs runes, modern 'Viking compass' association labelled honestly; pair with exact product facts","Do not market as verified Viking navigation instrument",VERY_HIGH
OU08,Aegishjalmur / Helm of Awe,INVESTIGATE,"Marketplaces and specialists already supply named-symbol products; commercial lane is coherent","Two-history explanation: medieval literary term/concept vs later drawn Icelandic stave; current competitor copy collapses them; exact product evidence can support commerce","R2 coherent exact-symbol commercial Search; Stage06 current SKU and preserved 22 Ozon units / 37800 RUB; exact Alice usefulness remains unmeasured","Current product/physical facts and source-rigor framework; literature/manuscript distinction can be documented",CONDITIONAL,"Proceed as named-symbol supporting lane if Stage08 economics justifies effort; source-rigorous explanation is required; do not require another paid Search run by default","Do not claim familiar radial stave is Viking-Age without evidence",HIGH
OU09,Broad zodiac,REOPENED_FOR_INVESTIGATION,"Marketplaces are natural shopping/selection environments; broad Search/Alice remains stones/jewelry contaminated","Potential owned angle is not generic zodiac meaning: exact automotive zodiac products + series comparison + observed seasonal demand + real-car product evidence","Stage06 proves 37 Ozon zodiac identities + 37 WB cards + classic/antique/symbols series; WB campaign has 196 zodiac ad-attributed orders / 260349 RUB and detectable calendar/sign association; R2 broad root remains weak-purity","Large coherent current product family; preserved seasonal seller performance; exact product construction same automotive form; ability to build series chooser",CONDITIONAL,"Keep as supporting/seasonal specialist lane. Advance only around exact automotive zodiac products/series and seasonal merchandising if Stage08 margin/contribution supports it; do not target generic broad zodiac as primary SEO by default","No generic 'talismans by zodiac sign' architecture based on broad 3422 alone",VERY_HIGH
OU10,Generic automotive gift,REJECT_AS_PRIMARY,"Marketplaces/gift catalogues dominate broad practical gift selection and solve breadth/checkout extremely well","No demonstrated unique pendant-first answer to generic gift job","R2/Alice shows broad practical gift intent; Stage06 gift use exists but direct buyer share/economics not proven","Products can participate as gifts but no unique query-native capability demonstrated",NO_ADVANTAGE,"Keep only as merchandising/supporting copy unless Stage08 later proves unusually strong seasonal economics; no competitor research reopen now","Do not create primary acquisition lane from generic gift volume",HIGH
