schema_version,customer_evidence_id,platform,marketplace_product_id,relation_status,category,topic,excerpt_or_paraphrase,evidence_mode,source_ref,notes
1.0,ce_appearance_in_car_20260801,mixed_public_sources,,CATEGORY_ANALOG,review,appearance_in_car,Покупатели похожих автомобильных подвесок регулярно оценивают как изделие выглядит в реальном салоне и не кажется ли громоздким,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Analog/category evidence; not assigned to a Blood & Sand SKU
1.0,ce_size_scale_20260801,mixed_public_sources,,CATEGORY_ANALOG,review,size_scale,Размер и визуальный масштаб подвески являются повторяющимся фактором выбора и причиной недовольства на смежных товарах,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Requires honest scale media and dimensions
1.0,ce_material_finish_20260801,mixed_public_sources,,CATEGORY_ANALOG,review,material_finish,Качество материала и отделки влияет на доверие и оценку похожих символических подвесок,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,No durability claim transferred to owned SKU
1.0,ce_darkening_aging_20260801,mixed_public_sources,,CATEGORY_ANALOG,complaint,darkening_aging,На похожих Печатях Велеса встречается негативная тема потемнения со временем,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Analog evidence only; does not prove Blood & Sand wood/acrylic darkens
1.0,ce_cord_quality_20260801,mixed_public_sources,,CATEGORY_ANALOG,complaint,cord_quality,Шнур и слабые элементы крепления повторяются как practical trust issue в смежных отзывах,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Owned cord material/construction remains not directly measured
1.0,ce_attachment_hanging_20260801,mixed_public_sources,,CATEGORY_ANALOG,question,attachment_hanging,Покупателю важно понимать как подвеска крепится к зеркалу и можно ли снять или отрегулировать шнур,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Future product content obligation
1.0,ce_heat_sun_20260801,mixed_public_sources,,CATEGORY_ANALOG,complaint,heat_sun_resistance,В автомобильной категории встречаются проблемы деформации отдельных материалов на солнце и при нагреве салона,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,No owned heat-resistance claim supported
1.0,ce_packaging_20260801,mixed_public_sources,,CATEGORY_ANALOG,praise,packaging,Упаковка влияет на восприятие автомобильной подвески и особенно на готовность использовать товар как подарок,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Owned packaging still requires direct product evidence
1.0,ce_gift_motive_20260801,mixed_public_sources,,CATEGORY_ANALOG,usage,gift_motive,В отзывах на похожие Печати Велеса и автомобильные подвески встречается прямой сценарий покупки в подарок,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Does not prove owned-buyer gift share
1.0,ce_review_trust_20260801,mixed_public_sources,,CATEGORY_ANALOG,review,review_trust,Отзывы и социальное доказательство являются самостоятельным фактором доверия для подобных товаров,DERIVED,marketing/research/CUSTOMER_EVIDENCE_AUTO_PENDANTS_2026-08-01.md,Current direct Ozon buyer text is blocked in Stage 06
