block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	автобильные весы	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=весы	SKU_SPECIFIC	REJECT	HOMONYM_FALSE_POSITIVE	«Весы» здесь означает измерительное оборудование/автомобильные весы, а не знак зодиака.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	блюдо весы знак зодиака	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=весы	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Блюдо со знаком Весы — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	брилки с знаком зодиака весы	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=знак,весы	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Вероятные брелоки со знаком Весы — другой товарный формат.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	брошка знак зодиака весы	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=весы	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Брошка — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	виктор знак зодиака весы	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=весы	SKU_SPECIFIC	REJECT	NO_DEFENSIBLE_PRODUCT_INTENT	Связь слова «Виктор» с текущей автомобильной подвеской не подтверждена; совпадение только по знаку.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720137256	1217124642	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Весы"". Оберег."	кулончик весы	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=весы	SKU_SPECIFIC	REJECT	USE_CASE_OR_PRODUCT_TYPE_MISMATCH	Кулончик без автомобильного интента скорее относится к нательному украшению.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	брелок водолей телефон	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Телефонный брелок — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	водолей кулон женский	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	USE_CASE_OR_PRODUCT_TYPE_MISMATCH	Женский кулон — нательное украшение, не автомобильная подвеска.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	водолей на распрыскиватель заачасти	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	HOMONYM_FALSE_POSITIVE	Запрос относится к распрыскивателю/запчастям; «Водолей» здесь не доказывает зодиакальный интент.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	водолей одежда мужская	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Мужская одежда — другой товарный класс.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	водолей подвеска с камнем	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	MATERIAL_OR_VARIANT_MISMATCH	Подвеска с камнем не соответствует подтверждённому деревянному автомобильному SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720141903	1217129635	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Водолей"""	молд водолей	STRONG_PRODUCT	READY_CANDIDATE	2.0	0.0	0.0	TITLE: token evidence=водолей	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Молд — другой товарный класс.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	брелок дева	STRONG_PRODUCT	READY_CANDIDATE	38.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Брелок — другой товарный формат, несмотря на высокий наблюдаемый спрос.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	брелок подвеска дева	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Комбинация «брелок/подвеска» не подтверждает автомобильную подвеску текущего SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	дева зеркальце	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Зеркальце со знаком Дева — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
