block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B03	1720148880	1217137863	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег."	брилок овен	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=овен	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Вероятный брелок Овен — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720148880	1217137863	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег."	бусина овен	STRONG_PRODUCT	READY_CANDIDATE	2.0	0.0	0.0	TITLE: token evidence=овен	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Отдельная бусина — другой товарный формат.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720148880	1217137863	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег."	бусинка знак зодиака овен	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=овен	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Запрос про бусинку со знаком Овен, а не готовую автомобильную подвеску.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	для машины лев	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=машин,лев	SKU_SPECIFIC	HOLD	AMBIGUOUS_HOMONYM	«Лев» может быть знаком зодиака или изображением животного/автодекором; запрос не позволяет безопасно назначить текущему SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	знак задиак лев	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=лев	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Опечаточная форма «знак зодиака Лев» уже полностью покрыта карточкой.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	золотой лев в машину	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=лев	SKU_SPECIFIC	REJECT	VARIANT_OR_MATERIAL_MISMATCH	«Золотой лев» указывает на иной дизайн/цвет/материал и не подтверждает текущий деревянный зодиакальный SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	лев в машину на панель	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=лев	SKU_SPECIFIC	REJECT	PLACEMENT_OR_PRODUCT_MISMATCH	Запрос на предмет для панели; текущий SKU предназначен для подвешивания на зеркало.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	лев в машину с креплением	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=лев	SKU_SPECIFIC	REJECT	PRODUCT_FORMAT_MISMATCH	Отдельное крепление/иной формат не подтверждены текущей подвеской.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720151850	1217141020	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег."	оберег на сво лев	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=лев	SKU_SPECIFIC	REJECT	NO_DEFENSIBLE_PRODUCT_INTENT	Связь «СВО лев» с зодиакальным автомобильным талисманом не подтверждена.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720153914	1217143121	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Рак"". Оберег."	кулон из рак	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=рак	SKU_SPECIFIC	REJECT	USE_CASE_OR_PRODUCT_TYPE_MISMATCH	Вероятный кулон знака Рак — нательное украшение; автомобильный интент отсутствует.			MAIN_CHATGPT	FINAL_FOR_BLOCK
